000000000000000121000010227,-2.964,1.034,1.298,0,0,2017/12/01 19:17:02,10:17:02.4612940,0.078
000000000000000121000010227,-2.955,0.991,1.36,0,0,2017/12/01 19:17:02,10:17:02.5694100,0.077
000000000000000121000010227,-2.854,1.06,1.425,0,0,2017/12/01 19:17:02,10:17:02.6775260,0.076
000000000000000121000010227,-2.938,0.997,1.474,0,0,2017/12/01 19:17:02,10:17:02.7856420,0.07
000000000000000121000010227,-2.876,1.061,1.57,0,0,2017/12/01 19:17:02,10:17:02.8937580,0.055
000000000000000121000010227,-2.908,0.982,1.604,0,0,2017/12/01 19:17:03,10:17:03.0018740,0.027
000000000000000121000010227,-2.734,1.166,1.417,0,0,2017/12/01 19:17:03,10:17:03.1099900,0.251
000000000000000121000010227,-2.517,0.882,1.583,0,0,2017/12/01 19:17:03,10:17:03.2181060,0.045
000000000000000121000010227,-2.722,1.057,1.439,0,0,2017/12/01 19:17:03,10:17:03.3262220,0.073
000000000000000121000010227,-2.607,0.967,1.471,0,0,2017/12/01 19:17:03,10:17:03.4343380,0.043
000000000000000121000010227,-2.583,0.896,1.43,0,0,2017/12/01 19:17:03,10:17:03.5424540,0.054
000000000000000121000010227,-2.504,0.959,1.546,0,0,2017/12/01 19:17:03,10:17:03.6505700,0.031
000000000000000121000010227,-2.539,0.987,1.532,0,0,2017/12/01 19:17:03,10:17:03.7586860,0.024
000000000000000121000010227,-2.609,1.041,1.543,0,0,2017/12/01 19:17:03,10:17:03.8668020,0.02
000000000000000121000010227,-2.593,1.008,1.614,0,0,2017/12/01 19:17:03,10:17:03.9749180,0.195
000000000000000121000010227,-2.718,1.022,1.659,0,0,2017/12/01 19:17:04,10:17:04.0830340,0.11
000000000000000121000010227,-2.582,0.862,1.65,0,0,2017/12/01 19:17:04,10:17:04.1911500,0.193
000000000000000121000010227,-2.553,0.807,1.59,0,0,2017/12/01 19:17:04,10:17:04.2992660,0.213
000000000000000121000010227,-2.592,0.822,1.605,0,0,2017/12/01 19:17:04,10:17:04.4073820,0.24
000000000000000121000010227,-2.503,0.716,1.729,0,0,2017/12/01 19:17:04,10:17:04.5154980,0.093
000000000000000121000010227,-2.699,0.838,1.727,0,0,2017/12/01 19:17:04,10:17:04.6236140,0.276
000000000000000121000010227,-2.762,0.988,1.605,0,0,2017/12/01 19:17:04,10:17:04.7317300,0.129
000000000000000121000010227,-2.685,0.973,1.57,0,0,2017/12/01 19:17:04,10:17:04.8398460,0.135
000000000000000121000010227,-2.682,0.965,1.736,0,0,2017/12/01 19:17:04,10:17:04.9479620,0.062
000000000000000121000010227,-2.624,0.966,1.718,0,0,2017/12/01 19:17:05,10:17:05.0560780,0.074
000000000000000121000010227,-2.647,1.013,1.597,0,0,2017/12/01 19:17:05,10:17:05.1641940,0.046
000000000000000121000010227,-2.534,0.85,1.632,0,0,2017/12/01 19:17:05,10:17:05.2723100,0.034
000000000000000121000010227,-2.66,0.915,1.607,0,0,2017/12/01 19:17:05,10:17:05.3804260,0.016
000000000000000121000010227,-2.655,0.991,1.509,0,0,2017/12/01 19:17:05,10:17:05.4885420,0.082
000000000000000121000010227,-2.631,0.941,1.684,0,0,2017/12/01 19:17:05,10:17:05.5966580,0.012
000000000000000121000010227,-2.596,0.892,1.669,0,0,2017/12/01 19:17:05,10:17:05.7047740,0.089
000000000000000121000010227,-2.408,0.876,1.733,0,0,2017/12/01 19:17:05,10:17:05.8128900,0.011
000000000000000121000010227,-2.529,0.884,1.655,0,0,2017/12/01 19:17:05,10:17:05.9210060,0.061
000000000000000121000010227,-2.462,0.864,1.628,0,0,2017/12/01 19:17:06,10:17:06.0291220,0.065
